time,cog_index,correct_in_db,total_in_db,correct_in_GA,total_in_GA,precision
0,-1,0,0,0,0,0.0000
64,-1,0,0,0,0,0.0000
129,-1,0,0,0,0,0.0000
191,-1,0,0,0,0,0.0000
251,-1,0,0,0,0,0.0000
325,-1,0,0,0,1,0.0000
393,-1,0,0,1,1,1.0000
458,-1,0,0,0,0,0.0000
525,-1,0,0,0,0,0.0000
589,-1,0,0,0,0,0.0000
651,-1,0,0,1,1,1.0000
727,-1,0,0,0,0,0.0000
793,-1,0,0,0,0,0.0000
861,-1,0,0,0,0,0.0000
923,-1,0,0,0,0,0.0000
984,-1,0,0,0,0,0.0000
1044,-1,0,0,0,0,0.0000
1105,-1,0,0,0,0,0.0000
1165,-1,0,0,0,0,0.0000
1225,-1,0,0,0,1,0.0000
1287,-1,0,0,0,1,0.0000
1348,-1,0,0,0,1,0.0000
1411,-1,0,0,0,1,0.0000
1472,-1,0,0,0,1,0.0000
1533,-1,0,0,0,1,0.0000
1597,-1,0,0,0,1,0.0000
1658,-1,0,0,0,0,0.0000
1721,-1,0,0,0,0,0.0000
1783,-1,0,0,0,0,0.0000
1848,-1,0,0,0,0,0.0000
1917,-1,0,0,0,0,0.0000
1981,-1,0,0,0,0,0.0000
2045,-1,0,0,0,0,0.0000
2108,-1,0,0,0,0,0.0000
2169,-1,0,0,0,0,0.0000
2231,-1,0,0,0,0,0.0000
2294,-1,0,0,0,0,0.0000
2371,-1,0,0,0,0,0.0000
2439,-1,0,0,0,0,0.0000
2498,-1,0,0,0,0,0.0000
2558,-1,0,0,0,0,0.0000
2617,-1,0,0,0,0,0.0000
2678,-1,0,0,0,0,0.0000
2742,-1,0,0,0,0,0.0000
2806,-1,0,0,0,0,0.0000
2866,-1,0,0,0,0,0.0000
2928,-1,0,0,0,0,0.0000
2988,-1,0,0,0,0,0.0000
3050,-1,0,0,0,0,0.0000
3113,-1,0,0,0,0,0.0000
3181,-1,0,0,0,0,0.0000
3244,-1,0,0,0,0,0.0000
