time,cog_index,correct_in_db,total_in_db,correct_in_GA,total_in_GA,precision
0,-1,0,0,0,0,0.0000
58,-1,0,0,0,4,0.0000
123,-1,0,0,0,1,0.0000
178,-1,0,0,0,1,0.0000
235,-1,0,0,0,1,0.0000
292,-1,0,0,0,1,0.0000
352,-1,0,0,0,0,0.0000
408,-1,0,0,0,0,0.0000
464,-1,0,0,0,0,0.0000
520,-1,0,0,2,17,0.1176
576,-1,0,0,0,5,0.0000
633,-1,0,0,0,0,0.0000
689,-1,0,0,0,0,0.0000
747,-1,0,0,0,0,0.0000
804,-1,0,0,0,0,0.0000
861,-1,0,0,0,0,0.0000
919,-1,0,0,0,0,0.0000
975,-1,0,0,0,0,0.0000
1036,-1,0,0,0,0,0.0000
1092,-1,0,0,0,0,0.0000
1149,-1,0,0,0,0,0.0000
1205,-1,0,0,0,0,0.0000
1261,-1,0,0,0,0,0.0000
1322,-1,0,0,0,0,0.0000
1377,-1,0,0,0,0,0.0000
1435,-1,0,0,0,0,0.0000
1491,-1,0,0,0,0,0.0000
1546,-1,0,0,0,0,0.0000
1602,-1,0,0,0,0,0.0000
1658,-1,0,0,0,0,0.0000
1714,-1,0,0,0,1,0.0000
1770,-1,0,0,0,1,0.0000
1826,-1,0,0,0,0,0.0000
1882,-1,0,0,0,0,0.0000
1938,-1,0,0,0,0,0.0000
1994,-1,0,0,0,0,0.0000
2055,-1,0,0,0,0,0.0000
2111,-1,0,0,0,0,0.0000
2170,-1,0,0,0,0,0.0000
2230,-1,0,0,0,0,0.0000
2286,-1,0,0,0,0,0.0000
2350,-1,0,0,0,0,0.0000
2406,-1,0,0,0,0,0.0000
2462,-1,0,0,0,0,0.0000
2520,-1,0,0,0,0,0.0000
2575,-1,0,0,0,0,0.0000
2630,-1,0,0,0,0,0.0000
2686,-1,0,0,0,0,0.0000
2743,-1,0,0,0,0,0.0000
2798,-1,0,0,0,0,0.0000
2860,-1,0,0,0,0,0.0000
2917,-1,0,0,0,0,0.0000
2972,-1,0,0,0,0,0.0000
3028,-1,0,0,0,0,0.0000
3083,-1,0,0,0,0,0.0000
3139,-1,0,0,0,0,0.0000
3193,-1,0,0,0,0,0.0000
3250,-1,0,0,0,0,0.0000
3309,-1,0,0,0,0,0.0000
3364,-1,0,0,0,0,0.0000
3420,-1,0,0,0,0,0.0000
3475,-1,0,0,0,0,0.0000
3531,-1,0,0,0,0,0.0000
3591,-1,0,0,0,0,0.0000
3648,-1,0,0,0,0,0.0000
3702,-1,0,0,0,0,0.0000
3758,-1,0,0,0,0,0.0000
3814,-1,0,0,0,0,0.0000
3869,-1,0,0,0,0,0.0000
3924,-1,0,0,0,0,0.0000
3980,-1,0,0,0,0,0.0000
4036,-1,0,0,0,0,0.0000
4091,-1,0,0,0,0,0.0000
4145,-1,0,0,0,0,0.0000
4200,-1,0,0,0,0,0.0000
4263,-1,0,0,0,0,0.0000
4322,-1,0,0,0,0,0.0000
4379,-1,0,0,0,0,0.0000
4435,-1,0,0,0,0,0.0000
4492,-1,0,0,0,0,0.0000
4548,-1,0,0,0,0,0.0000
4604,-1,0,0,0,0,0.0000
4660,-1,0,0,0,0,0.0000
4720,-1,0,0,0,0,0.0000
4774,-1,0,0,0,0,0.0000
4830,-1,0,0,0,0,0.0000
4886,-1,0,0,0,0,0.0000
4941,-1,0,0,0,0,0.0000
5005,-1,0,0,2,18,0.1111
5061,-1,0,0,2,18,0.1111
5116,-1,0,0,0,1,0.0000
5174,-1,0,0,0,1,0.0000
5234,-1,0,0,0,1,0.0000
5292,-1,0,0,0,1,0.0000
5351,-1,0,0,0,1,0.0000
5408,-1,0,0,0,1,0.0000
5464,-1,0,0,0,1,0.0000
5520,-1,0,0,0,1,0.0000
5575,-1,0,0,0,1,0.0000
5632,-1,0,0,0,1,0.0000
5699,-1,0,0,0,1,0.0000
5755,-1,0,0,0,1,0.0000
5810,-1,0,0,0,1,0.0000
5866,-1,0,0,0,1,0.0000
5923,-1,0,0,0,1,0.0000
5980,-1,0,0,0,1,0.0000
6036,-1,0,0,0,1,0.0000
6095,-1,0,0,0,1,0.0000
6152,-1,0,0,0,1,0.0000
6207,-1,0,0,0,1,0.0000
6264,-1,0,0,0,1,0.0000
6324,-1,0,0,0,1,0.0000
6380,-1,0,0,0,1,0.0000
6445,-1,0,0,0,1,0.0000
6503,-1,0,0,0,1,0.0000
6560,-1,0,0,0,1,0.0000
6616,-1,0,0,0,1,0.0000
6670,-1,0,0,0,1,0.0000
6726,-1,0,0,0,1,0.0000
6784,-1,0,0,0,1,0.0000
6839,-1,0,0,0,1,0.0000
6897,-1,0,0,0,0,0.0000
6952,-1,0,0,0,0,0.0000
7007,-1,0,0,0,0,0.0000
7066,-1,0,0,0,0,0.0000
7131,-1,0,0,0,0,0.0000
7188,-1,0,0,0,0,0.0000
7243,-1,0,0,0,0,0.0000
7302,-1,0,0,0,24,0.0000
7361,-1,0,0,0,24,0.0000
7417,-1,0,0,0,24,0.0000
7475,-1,0,0,0,24,0.0000
7534,-1,0,0,0,24,0.0000
7591,-1,0,0,0,24,0.0000
7648,-1,0,0,0,24,0.0000
7703,-1,0,0,0,24,0.0000
7760,-1,0,0,0,24,0.0000
7817,-1,0,0,0,24,0.0000
7885,-1,0,0,0,24,0.0000
7941,-1,0,0,0,0,0.0000
7996,-1,0,0,0,0,0.0000
8054,-1,0,0,0,0,0.0000
8109,-1,0,0,0,0,0.0000
8166,-1,0,0,0,0,0.0000
8225,-1,0,0,0,0,0.0000
8281,-1,0,0,0,0,0.0000
8339,-1,0,0,0,0,0.0000
8393,-1,0,0,0,0,0.0000
8450,-1,0,0,0,0,0.0000
8504,-1,0,0,0,0,0.0000
8573,-1,0,0,0,0,0.0000
8628,-1,0,0,0,0,0.0000
8687,-1,0,0,0,0,0.0000
8742,-1,0,0,0,0,0.0000
8798,-1,0,0,0,0,0.0000
8853,-1,0,0,0,0,0.0000
8909,-1,0,0,0,0,0.0000
8965,-1,0,0,0,0,0.0000
9022,-1,0,0,0,0,0.0000
9077,-1,0,0,0,0,0.0000
9132,-1,0,0,0,0,0.0000
9190,-1,0,0,0,0,0.0000
9248,-1,0,0,0,0,0.0000
9323,-1,0,0,0,0,0.0000
9380,-1,0,0,0,0,0.0000
9436,-1,0,0,0,0,0.0000
9491,-1,0,0,0,0,0.0000
9549,-1,0,0,0,0,0.0000
9604,-1,0,0,0,0,0.0000
9660,-1,0,0,0,0,0.0000
9716,-1,0,0,0,0,0.0000
9770,-1,0,0,0,0,0.0000
9826,-1,0,0,0,0,0.0000
9881,-1,0,0,0,0,0.0000
9937,-1,0,0,0,0,0.0000
10008,-1,0,0,0,0,0.0000
10063,-1,0,0,0,0,0.0000
10121,-1,0,0,0,0,0.0000
10177,-1,0,0,0,0,0.0000
10234,-1,0,0,0,0,0.0000
10290,-1,0,0,0,0,0.0000
10349,-1,0,0,0,0,0.0000
10403,-1,0,0,0,0,0.0000
10459,-1,0,0,0,0,0.0000
10513,-1,0,0,0,0,0.0000
10569,-1,0,0,0,0,0.0000
10626,-1,0,0,0,0,0.0000
10681,-1,0,0,0,0,0.0000
10753,-1,0,0,0,0,0.0000
10810,-1,0,0,0,0,0.0000
10865,-1,0,0,0,0,0.0000
10920,-1,0,0,0,0,0.0000
10975,-1,0,0,0,0,0.0000
11031,-1,0,0,0,0,0.0000
11088,-1,0,0,0,0,0.0000
11143,-1,0,0,0,0,0.0000
11199,-1,0,0,0,0,0.0000
11255,-1,0,0,0,0,0.0000
11315,-1,0,0,0,0,0.0000
11374,-1,0,0,0,0,0.0000
11447,-1,0,0,0,0,0.0000
11502,-1,0,0,0,0,0.0000
11558,-1,0,0,0,0,0.0000
11614,-1,0,0,0,0,0.0000
11670,-1,0,0,0,0,0.0000
11726,-1,0,0,0,0,0.0000
11783,-1,0,0,0,0,0.0000
11838,-1,0,0,0,0,0.0000
11895,-1,0,0,0,0,0.0000
11953,-1,0,0,0,0,0.0000
12009,-1,0,0,0,0,0.0000
12065,-1,0,0,0,0,0.0000
12121,-1,0,0,0,0,0.0000
12198,-1,0,0,0,0,0.0000
12254,-1,0,0,0,0,0.0000
12312,-1,0,0,0,0,0.0000
12368,-1,0,0,0,0,0.0000
12424,-1,0,0,0,0,0.0000
12481,-1,0,0,0,0,0.0000
12537,-1,0,0,0,0,0.0000
12597,-1,0,0,0,0,0.0000
12654,-1,0,0,0,0,0.0000
12710,-1,0,0,0,0,0.0000
12766,-1,0,0,0,0,0.0000
12821,-1,0,0,0,0,0.0000
12895,-1,0,0,0,1,0.0000
12951,-1,0,0,0,0,0.0000
13006,-1,0,0,0,0,0.0000
13062,-1,0,0,0,0,0.0000
13118,-1,0,0,0,0,0.0000
13174,-1,0,0,0,0,0.0000
13231,-1,0,0,0,1,0.0000
13286,-1,0,0,0,0,0.0000
13348,-1,0,0,0,0,0.0000
13404,-1,0,0,0,0,0.0000
13460,-1,0,0,0,0,0.0000
13517,-1,0,0,0,0,0.0000
13575,-1,0,0,0,0,0.0000
13649,-1,0,0,0,0,0.0000
13704,-1,0,0,0,0,0.0000
13762,-1,0,0,0,0,0.0000
13818,-1,0,0,0,0,0.0000
13873,-1,0,0,0,0,0.0000
13927,-1,0,0,0,0,0.0000
13982,-1,0,0,1,20,0.0500
14038,-1,0,0,1,20,0.0500
14092,-1,0,0,1,20,0.0500
14148,-1,0,0,1,20,0.0500
14205,-1,0,0,1,20,0.0500
14261,-1,0,0,1,20,0.0500
14341,-1,0,0,1,20,0.0500
14397,-1,0,0,1,20,0.0500
14456,-1,0,0,1,20,0.0500
14510,-1,0,0,1,20,0.0500
14565,-1,0,0,1,20,0.0500
14622,-1,0,0,1,20,0.0500
14677,-1,0,0,1,20,0.0500
14733,-1,0,0,1,20,0.0500
14789,-1,0,0,1,20,0.0500
14845,-1,0,0,1,20,0.0500
14900,-1,0,0,1,20,0.0500
14956,-1,0,0,1,3,0.3333
15011,-1,0,0,0,0,0.0000
15088,-1,0,0,0,0,0.0000
15144,-1,0,0,0,0,0.0000
15202,-1,0,0,0,0,0.0000
15258,-1,0,0,0,0,0.0000
15318,-1,0,0,0,0,0.0000
15375,-1,0,0,0,0,0.0000
15437,-1,0,0,0,0,0.0000
15496,-1,0,0,0,0,0.0000
15550,-1,0,0,0,0,0.0000
15607,-1,0,0,0,0,0.0000
15666,-1,0,0,0,0,0.0000
15722,-1,0,0,0,0,0.0000
15801,-1,0,0,0,0,0.0000
15858,-1,0,0,0,0,0.0000
15914,-1,0,0,0,0,0.0000
15970,-1,0,0,0,0,0.0000
16026,-1,0,0,0,0,0.0000
16081,-1,0,0,0,0,0.0000
16137,-1,0,0,0,0,0.0000
16196,-1,0,0,0,0,0.0000
16253,-1,0,0,0,0,0.0000
16313,-1,0,0,0,0,0.0000
16369,-1,0,0,0,0,0.0000
16426,-1,0,0,0,0,0.0000
16481,-1,0,0,0,0,0.0000
16561,-1,0,0,0,0,0.0000
16617,-1,0,0,0,0,0.0000
16673,-1,0,0,0,0,0.0000
16727,-1,0,0,0,0,0.0000
16784,-1,0,0,1,17,0.0588
16841,-1,0,0,1,17,0.0588
16897,-1,0,0,1,17,0.0588
16954,-1,0,0,1,17,0.0588
17009,-1,0,0,1,17,0.0588
17063,-1,0,0,1,17,0.0588
17118,-1,0,0,0,1,0.0000
17174,-1,0,0,0,1,0.0000
17256,-1,0,0,0,1,0.0000
17316,-1,0,0,0,1,0.0000
17371,-1,0,0,0,1,0.0000
17427,-1,0,0,0,0,0.0000
17483,-1,0,0,0,0,0.0000
17538,-1,0,0,0,0,0.0000
17595,-1,0,0,0,0,0.0000
17650,-1,0,0,0,0,0.0000
17705,-1,0,0,0,0,0.0000
17761,-1,0,0,0,0,0.0000
17816,-1,0,0,0,0,0.0000
17872,-1,0,0,0,0,0.0000
17929,-1,0,0,0,0,0.0000
18011,-1,0,0,0,0,0.0000
18067,-1,0,0,0,0,0.0000
18122,-1,0,0,0,0,0.0000
18179,-1,0,0,0,0,0.0000
18235,-1,0,0,0,0,0.0000
18291,-1,0,0,0,0,0.0000
18350,-1,0,0,0,0,0.0000
18405,-1,0,0,0,0,0.0000
18460,-1,0,0,0,0,0.0000
18516,-1,0,0,0,0,0.0000
18571,-1,0,0,0,0,0.0000
18627,-1,0,0,0,0,0.0000
18709,-1,0,0,0,0,0.0000
18768,-1,0,0,0,0,0.0000
18823,-1,0,0,0,0,0.0000
18882,-1,0,0,0,0,0.0000
