time,cog_index,correct_in_db,total_in_db,correct_in_GA,total_in_GA,precision
0,-1,0,0,0,0,0.0000
57,-1,0,0,0,0,0.0000
112,-1,0,0,0,0,0.0000
168,-1,0,0,0,1,0.0000
224,-1,0,0,1,7,0.1429
285,-1,0,0,1,7,0.1429
340,-1,0,0,0,0,0.0000
394,-1,0,0,0,0,0.0000
448,-1,0,0,0,0,0.0000
503,-1,0,0,0,0,0.0000
559,-1,0,0,0,0,0.0000
615,-1,0,0,5,24,0.2083
671,-1,0,0,5,24,0.2083
726,-1,0,0,5,24,0.2083
782,-1,0,0,1,2,0.5000
837,-1,0,0,2,9,0.2222
891,-1,0,0,2,9,0.2222
947,-1,0,0,2,9,0.2222
1002,-1,0,0,2,9,0.2222
1057,-1,0,0,2,9,0.2222
1113,-1,0,0,0,0,0.0000
1169,-1,0,0,0,0,0.0000
1224,-1,0,0,0,0,0.0000
1284,-1,0,0,0,0,0.0000
1339,-1,0,0,0,0,0.0000
1397,-1,0,0,0,0,0.0000
1453,-1,0,0,0,0,0.0000
1509,-1,0,0,0,0,0.0000
1564,-1,0,0,0,0,0.0000
1618,-1,0,0,0,0,0.0000
1673,-1,0,0,0,0,0.0000
1729,-1,0,0,0,0,0.0000
1784,-1,0,0,0,0,0.0000
1839,-1,0,0,0,0,0.0000
1895,-1,0,0,0,0,0.0000
1950,-1,0,0,0,0,0.0000
2005,-1,0,0,0,0,0.0000
2059,-1,0,0,0,0,0.0000
2118,-1,0,0,0,0,0.0000
2173,-1,0,0,0,0,0.0000
2229,-1,0,0,0,0,0.0000
2291,-1,0,0,0,0,0.0000
2348,-1,0,0,0,0,0.0000
2404,-1,0,0,0,0,0.0000
2459,-1,0,0,0,0,0.0000
2515,-1,0,0,0,0,0.0000
2570,-1,0,0,0,0,0.0000
2624,-1,0,0,0,0,0.0000
2679,-1,0,0,0,0,0.0000
2732,-1,0,0,0,0,0.0000
2793,-1,0,0,0,0,0.0000
2850,-1,0,0,0,0,0.0000
2903,-1,0,0,0,0,0.0000
2958,-1,0,0,0,0,0.0000
3013,-1,0,0,0,0,0.0000
3067,-1,0,0,0,0,0.0000
3121,-1,0,0,0,0,0.0000
3176,-1,0,0,0,0,0.0000
3231,-1,0,0,0,0,0.0000
3292,-1,0,0,0,0,0.0000
3347,-1,0,0,0,0,0.0000
3402,-1,0,0,0,0,0.0000
3456,-1,0,0,0,0,0.0000
3515,-1,0,0,0,0,0.0000
3571,-1,0,0,0,0,0.0000
3623,-1,0,0,0,0,0.0000
3677,-1,0,0,0,0,0.0000
3732,-1,0,0,0,0,0.0000
3787,-1,0,0,0,0,0.0000
3843,-1,0,0,0,0,0.0000
3898,-1,0,0,0,0,0.0000
3953,-1,0,0,0,0,0.0000
4009,-1,0,0,1,2,0.5000
4064,-1,0,0,1,2,0.5000
4119,-1,0,0,1,2,0.5000
4181,-1,0,0,1,2,0.5000
4235,-1,0,0,0,1,0.0000
4296,-1,0,0,0,1,0.0000
4353,-1,0,0,0,1,0.0000
4408,-1,0,0,0,1,0.0000
4462,-1,0,0,0,1,0.0000
4518,-1,0,0,0,1,0.0000
4575,-1,0,0,0,1,0.0000
4629,-1,0,0,0,1,0.0000
4686,-1,0,0,0,1,0.0000
4742,-1,0,0,0,1,0.0000
4799,-1,0,0,0,1,0.0000
4855,-1,0,0,0,1,0.0000
4920,-1,0,0,0,1,0.0000
4975,-1,0,0,0,0,0.0000
5029,-1,0,0,0,0,0.0000
5084,-1,0,0,0,0,0.0000
5140,-1,0,0,0,0,0.0000
5197,-1,0,0,0,0,0.0000
5253,-1,0,0,0,0,0.0000
5312,-1,0,0,0,0,0.0000
5366,-1,0,0,0,0,0.0000
5422,-1,0,0,0,0,0.0000
5476,-1,0,0,0,0,0.0000
5532,-1,0,0,0,0,0.0000
5595,-1,0,0,0,0,0.0000
5650,-1,0,0,0,0,0.0000
5706,-1,0,0,0,0,0.0000
5760,-1,0,0,0,0,0.0000
5816,-1,0,0,0,0,0.0000
5871,-1,0,0,0,0,0.0000
5926,-1,0,0,0,0,0.0000
5981,-1,0,0,0,0,0.0000
6037,-1,0,0,0,0,0.0000
6092,-1,0,0,0,0,0.0000
6147,-1,0,0,0,0,0.0000
6203,-1,0,0,0,0,0.0000
6262,-1,0,0,0,0,0.0000
6328,-1,0,0,0,0,0.0000
6384,-1,0,0,0,1,0.0000
6439,-1,0,0,0,1,0.0000
6495,-1,0,0,0,1,0.0000
6549,-1,0,0,0,1,0.0000
6603,-1,0,0,0,1,0.0000
6659,-1,0,0,0,1,0.0000
6714,-1,0,0,0,1,0.0000
6770,-1,0,0,0,1,0.0000
6824,-1,0,0,0,1,0.0000
6879,-1,0,0,0,1,0.0000
6934,-1,0,0,0,1,0.0000
6999,-1,0,0,0,1,0.0000
7053,-1,0,0,0,1,0.0000
7108,-1,0,0,0,1,0.0000
7162,-1,0,0,0,1,0.0000
7218,-1,0,0,0,6,0.0000
7278,-1,0,0,0,6,0.0000
7335,-1,0,0,0,6,0.0000
7390,-1,0,0,0,6,0.0000
7446,-1,0,0,0,6,0.0000
7502,-1,0,0,0,6,0.0000
7557,-1,0,0,0,6,0.0000
7613,-1,0,0,0,2,0.0000
7668,-1,0,0,0,2,0.0000
7734,-1,0,0,0,2,0.0000
7789,-1,0,0,0,2,0.0000
7846,-1,0,0,0,2,0.0000
7900,-1,0,0,0,2,0.0000
7957,-1,0,0,0,2,0.0000
8012,-1,0,0,0,2,0.0000
8067,-1,0,0,0,2,0.0000
8122,-1,0,0,0,2,0.0000
8178,-1,0,0,0,2,0.0000
8234,-1,0,0,0,2,0.0000
8292,-1,0,0,0,0,0.0000
